Nome;Idade;Peso (kg);Altura (m)
Cauà Rezende;16/01/1903;102.62;1.88
Pedro Lucas Nunes;28/01/1928;99.01;1.69
Pedro Lucas Pires;23/11/1930;135.01;1.64
Mirella da Mota;25/06/2014;140.81;1.47
Alana Costela;07/07/1990;74.89;1.83
Jo∆o Nogueira;26/12/1981;122.89;1.5
Stephany Moraes;19/10/2021;88.84;1.92
Luiz Felipe da Mata;27/01/1923;41.9;2.07
Gustavo Henrique Cardoso;01/10/1918;107.97;1.59
Ot†vio Teixeira;25/12/2007;84.88;1.97
Emanuella Santos;02/03/1901;87.92;1.73
Mirella das Neves;08/09/1914;62.28;1.84
Guilherme Arag∆o;04/12/1916;76.38;1.47
Yago Moura;03/02/1900;79.73;2.07
Rafael da Luz;24/08/1953;80.27;2.01
Ana L°via Melo;24/05/1980;62.76;1.68
Pedro Lucas Carvalho;18/05/1978;69.65;1.64
Let°cia Fogaáa;16/02/1958;81.46;1.79
Igor da Paz;15/08/1909;111.68;1.74
Jo∆o Miguel da Cruz;30/01/1933;132.11;2.05
Caroline Mendes;19/08/1985;96.19;1.78
Valentina Oliveira;03/12/1900;117.38;1.94
Milena Duarte;01/09/1948;69.66;1.85
Theo Azevedo;10/08/1975;50.88;1.47
Carolina Silveira;31/12/1973;128.36;1.9
Samuel Viana;07/02/1907;121.43;1.53
Srta. Sabrina Rodrigues;30/06/1906;45.63;1.68
Vit¢ria Vieira;28/08/2000;122.4;1.88
Theo da Mota;30/11/1960;70.7;1.47
Pedro Miguel Costa;27/01/1929;82.51;1.49
Antìnio Moraes;14/11/1949;99.51;1.89
Guilherme Teixeira;07/01/1914;84.38;1.89
Maria Luiza Lopes;01/07/1928;114.65;1.62
Sabrina das Neves;21/01/2006;111.31;1.52
Paulo Teixeira;19/12/1904;135.2;1.95
Marcela Carvalho;25/11/1914;119.19;1.53
Joaquim da Cunha;11/03/1935;46.97;1.88
Ana L°via Pires;06/05/1924;62.36;1.65
Srta. J£lia Rocha;25/08/1938;88.57;1.41
Marcelo Porto;08/05/1940;82.74;1.85
Jo∆o Gabriel das Neves;06/12/2010;58.53;1.43
Dra. Rebeca Ara£jo;08/10/1973;101.43;1.98
Erick da Costa;21/07/1928;100.96;1.71
Enzo Gabriel Silveira;03/01/1924;55.12;1.64
Isabelly Viana;04/12/1906;121.66;1.48
Isabelly Porto;18/06/1958;50.01;1.51
Ana J£lia Gomes;08/12/1913;78.4;1.86
L°via Silveira;21/04/2020;141.91;1.85
Enzo Sales;07/02/1953;56.44;1.72
Marcelo da Cruz;28/07/1988;95.63;1.77
Sra. Laura Lopes;11/11/1973;117.7;2.09
Cau∆ Freitas;18/04/2002;127.61;1.66
Carlos Eduardo Pereira;06/02/1912;62.95;1.78
Pietra Arag∆o;29/07/2013;140.22;1.77
Maria Cec°lia Mendes;24/10/1913;124.3;1.53
Jo∆o Guilherme Costela;17/02/1948;135.83;2.04
Rafael Novaes;24/08/1944;47.7;1.82
Diego Cardoso;21/03/2017;86.15;1.97
Enzo Barros;27/09/1919;114.75;1.75
Joaquim das Neves;22/12/2020;137.89;1.82
Daniel Viana;23/09/1908;138.68;1.92
Al°cia Nunes;07/01/1942;79.83;1.77
Isabella Azevedo;15/07/1906;50.4;1.76
Yuri Melo;24/12/1925;47.95;1.69
Marcelo Mendes;21/05/2023;94.46;1.51
Gustavo Henrique Mendes;18/09/1945;43.69;2.05
Thales Moraes;26/09/2019;144.45;1.57
Enrico Monteiro;08/02/2015;90.66;1.71
Valentina Souza;29/07/2004;135.31;1.59
Rebeca Fernandes;22/09/1931;98.18;1.6
Jo∆o Pedro Lopes;27/09/1963;143.2;2.04
Dra. Bruna Costa;13/05/1981;128.42;1.49
B†rbara Barbosa;09/10/1940;139.25;2.06
Jo∆o Guilherme Silva;17/09/1947;119.97;1.93
Caroline Lopes;19/01/1921;78.88;1.44
Bryan Azevedo;30/03/2002;113.13;1.61
Maria Cec°lia Rocha;31/10/1919;61.14;1.91
Isis Dias;05/11/1938;66.85;1.59
Ryan Fernandes;02/11/1997;140.33;2.05
Levi Novaes;19/09/2023;107.61;1.65
Vitor Hugo Costela;17/09/1949;118.23;1.52
Nathan Gonáalves;04/05/2024;85.05;2.05
Gabrielly Sales;07/10/1970;110.64;1.52
Luigi da Mata;14/09/1974;53.7;1.97
Caio Silva;04/06/1959;126.85;1.57
Rodrigo Souza;20/04/1958;73.82;2.05
Raquel Barbosa;09/04/1917;93.97;1.5
Ot†vio da Luz;24/01/1908;64.99;1.74
Ana Rezende;09/10/1959;147.57;2.1
Maria Eduarda Vieira;09/08/1946;141.7;1.41
Sra. Maria Luiza da Cruz;10/01/1973;57.48;1.99
Maria Alice da Mota;31/12/2014;137.84;1.83
Maria Alice Lima;01/04/1922;146.99;2
Maysa da Costa;03/05/1956;138.72;1.98
Enzo Carvalho;16/03/1990;47.13;1.54
